point_idx,row,col,x,y,z
0,0,0,1380.0,517.5,1794.0
1,0,1,1330.84,505.38,1752.0
2,0,2,1353.0,520.38,1804.0
3,0,3,1375.63,535.96,1858.0
4,0,4,1313.92,518.65,1798.0
5,0,5,1372.35,548.94,1903.0
6,0,6,1339.82,543.17,1883.0
7,0,7,1321.01,542.88,1882.0
8,0,8,1289.76,537.4,1863.0
9,0,9,1254.1,529.9,1837.0
10,0,10,1238.46,530.76,1840.0
11,0,11,1234.7,536.82,1861.0
12,0,12,1214.19,535.67,1857.0
13,0,13,1119.67,501.34,1738.0
14,0,14,1161.98,528.17,1831.0
15,0,15,1146.25,529.03,1834.0
16,0,16,1169.84,548.36,1901.0
17,0,17,1132.18,539.13,1869.0
18,0,18,1095.73,530.19,1838.0
19,0,19,1019.99,501.63,1739.0
20,0,20,1016.53,508.26,1762.0
21,0,21,1058.02,537.98,1865.0
22,0,22,992.13,513.17,1779.0
23,0,23,972.28,511.73,1774.0
24,0,24,1039.23,556.73,1930.0
25,0,25,1016.97,554.71,1923.0
26,0,26,1006.78,559.32,1939.0
27,0,27,1007.0,570.0,1976.0
28,0,28,980.0,565.38,1960.0
29,0,29,943.0,554.71,1923.0
30,0,30,933.17,559.9,1941.0
31,0,31,917.8,561.92,1948.0
32,0,32,875.07,546.92,1896.0
33,0,33,818.43,522.4,1811.0
34,0,34,815.61,531.92,1844.0
35,0,35,801.34,534.23,1852.0
36,0,36,781.0,532.5,1846.0
37,0,37,751.67,524.42,1818.0
38,0,38,746.3,533.07,1848.0
39,0,39,745.49,545.48,1891.0
40,0,40,730.76,548.07,1900.0
41,0,41,711.37,547.21,1897.0
42,0,42,669.75,528.75,1833.0
43,0,43,595.91,483.17,1675.0
44,0,44,643.5,536.25,1859.0
45,0,45,629.66,539.71,1871.0
46,0,46,610.03,538.26,1866.0
47,0,47,546.72,497.01,1723.0
48,0,48,546.76,512.59,1777.0
49,0,49,480.2,464.71,1611.0
50,0,50,518.94,518.94,1799.0
51,0,51,474.31,490.67,1701.0
52,0,52,472.23,505.96,1754.0
53,0,53,445.75,495.28,1717.0
54,0,54,450.5,519.8,1802.0
55,0,55,415.14,498.17,1727.0
56,0,56,385.38,481.73,1670.0
57,0,57,392.99,512.59,1777.0
58,0,58,369.55,503.94,1747.0
59,0,59,338.22,483.17,1675.0
60,0,60,336.15,504.23,1748.0
61,0,61,319.71,504.8,1750.0
62,0,62,301.32,502.21,1741.0
63,0,63,273.14,482.01,1671.0
64,0,64,254.76,477.69,1656.0
